omega[eV],momentum,fit momentum data,calculated imaginary part of self energy[eV],calculated photoemission peak width(FWHM)
-0.08787000000000002,0.03879878999999997,0.038328626814076464,0.035675396963016984,0.029322282914592584
-0.08484000000000001,0.03735219499999998,0.03751410563978988,0.03531753977704666,0.028897759987920893
-0.08181,0.03681747499999999,0.03673470098864695,0.034726472186780856,0.02829252288042748
-0.07878,0.036138,0.035946768283850475,0.03385103242130325,0.02746046618417283
-0.07575,0.035330788999999974,0.03509286971336889,0.032733252292153514,0.026430309199635668
-0.07271999999999999,0.034492822000000034,0.03414701638313734,0.03152799989849208,0.025326764228629065
-0.06969,0.033060513000000014,0.03314990998618219,0.03038046635649299,0.02427389271361706
-0.06666,0.031818137000000024,0.03217343913822235,0.02926786271727957,0.02326259904191158
-0.06362999999999999,0.031110143000000035,0.03124257374378858,0.027999173274555787,0.022143798249534937
-0.060599999999999994,0.03074291600000001,0.030291455016301577,0.026395275099073263,0.02077001560273762
-0.05757,0.02937142100000001,0.02920747255411439,0.02451648931726811,0.019181355685632343
-0.05454,0.028226949999999973,0.027950158858795073,0.02267415880181418,0.017623098148875124
-0.05151000000000001,0.02661299100000003,0.0266047130389844,0.02112553525842524,0.01630453987334202
-0.048479999999999995,0.024465696000000037,0.02529003709845675,0.019825385265721873,0.015197162985416368
-0.04545,0.024421970999999987,0.024045616783564303,0.018519102445848867,0.01410514389813456
-0.042420000000000006,0.023029615000000003,0.022812947900681432,0.017011558603035763,0.012875442152193294
